time,epoch,lr,train_loss,Train_OA,Val_OA
07-05-23:18,60,7.531155573479795e-05,0.5289,0.9528,0.8958
07-05-23:18,61,5.792746974217544e-05,0.2817,0.9536,0.8963
07-05-23:18,62,4.261106779937155e-05,0.3732,0.9543,0.8967
07-05-23:18,63,2.9493160104709977e-05,0.4142,0.9557,0.8948
07-05-23:18,64,1.8685780549279845e-05,0.3656,0.9546,0.8971
07-05-23:18,65,1.0281229888068177e-05,0.3206,0.9555,0.896
07-05-23:18,66,4.351287442545022e-06,0.3029,0.9557,0.8955
07-05-23:18,67,9.465980671771096e-07,0.3269,0.9557,0.8965
07-05-23:18,68,0.0005999909399593033,0.4402,0.9541,0.8105
07-05-23:18,69,0.0005995628127637166,0.4995,0.9215,0.8533
07-05-23:18,70,0.0005984948015436478,0.5971,0.9256,0.8874
07-05-23:18,71,0.0005967891878632149,0.404,0.934,0.8649
07-05-23:18,72,0.0005944496153798054,0.3221,0.9368,0.8648
07-05-23:18,73,0.0005914810820602278,0.3762,0.9377,0.8822
07-05-23:18,74,0.0005878899295036872,0.4275,0.9371,0.8759
07-05-23:18,75,0.000583683829394395,0.4051,0.927,0.8741
07-05-23:18,76,0.0005788717671127519,0.371,0.938,0.8823
07-05-23:18,77,0.000573464022540119,0.3596,0.9432,0.8779
07-05-23:18,78,0.0005674721480981776,0.3596,0.9434,0.889
07-05-23:18,79,0.0005609089440697974,0.387,0.9431,0.8952
07-05-23:18,80,0.0005537884312541303,0.3577,0.9467,0.8834
07-05-23:18,81,0.0005461258210143483,0.3641,0.9423,0.8903
07-05-23:18,82,0.0005379374827820105,0.3947,0.9463,0.8839
07-05-23:18,83,0.0005292409090874798,0.3417,0.9479,0.8888
07-05-23:18,84,0.0005200546781910925,0.4187,0.9467,0.8679
07-05-23:18,85,0.0005103984143949133,0.3677,0.9429,0.8804
07-05-23:18,86,0.000500292746119856,0.3562,0.9455,0.8943
07-05-23:18,87,0.0004897592618377355,0.4357,0.9484,0.8797
07-05-23:18,88,0.0004788204639523857,0.5146,0.9506,0.8885
07-05-23:18,89,0.0004674997207283691,0.3204,0.9504,0.8935
07-05-23:18,90,0.0004558212163699719,0.3561,0.9533,0.8898
07-05-23:18,91,0.00044380989935712814,0.3584,0.9477,0.8922
07-05-23:18,92,0.00043149142914864153,0.3549,0.9519,0.8804
07-05-23:18,93,0.000418892121366563,0.3129,0.9539,0.8956
07-05-23:18,94,0.0004060388915788225,0.3236,0.9572,0.8984
07-05-23:18,95,0.0003929591978002142,0.3108,0.9576,0.899
07-05-23:18,96,0.0003796809818345653,0.2979,0.9577,0.891
07-05-23:18,97,0.0003662326095833998,0.354,0.9582,0.8976
07-05-23:18,98,0.0003526428104486131,0.3287,0.9577,0.8964
07-05-23:18,99,0.00033894061595861124,0.3071,0.9603,0.8927
07-05-23:18,100,0.0003251552977490245,0.4068,0.952,0.8953
07-05-23:18,101,0.00031131630503048623,0.3688,0.9585,0.8815
07-05-23:18,102,0.00029745320167706354,0.3045,0.9575,0.8941
07-05-23:18,103,0.0002835956030697352,0.3069,0.9579,0.8939
07-05-23:18,104,0.0002697731128298362,0.3248,0.9611,0.8978
07-05-23:18,105,0.0002560152595776252,0.3024,0.9623,0.8979
07-05-23:18,106,0.00024235143385107355,0.3079,0.9632,0.8974
07-05-23:18,107,0.00022881082531963726,0.3405,0.9647,0.8991
07-05-23:18,108,0.00021542236042713738,0.3151,0.9654,0.8971
07-05-23:18,109,0.00020221464059696397,0.316,0.9643,0.8985
07-05-23:18,110,0.00018921588113161156,0.3641,0.9647,0.8966
07-05-23:18,111,0.00017645385093707484,0.3099,0.966,0.8997
07-05-23:18,112,0.0001639558132008694,0.3264,0.9668,0.8979
07-05-23:18,113,0.00015174846715040527,0.2909,0.9665,0.9
07-05-23:18,114,0.00013985789101613377,0.3395,0.9656,0.8948
07-05-23:18,115,0.0001283094863213141,0.3147,0.9673,0.8996
07-05-23:18,116,0.00011712792361741003,0.2785,0.9677,0.8987
07-05-23:18,117,0.00010633708978104459,0.3413,0.968,0.8979
07-05-23:18,118,9.596003698509634e-05,0.282,0.9688,0.8999
07-05-23:18,119,8.601893345295355e-05,0.2947,0.9686,0.8978
07-05-23:18,120,7.653501610112346e-05,0.3087,0.9688,0.8984
07-05-23:18,121,6.752854517137058e-05,0.2975,0.9687,0.8995
07-05-23:18,122,5.901876094929726e-05,0.2727,0.9689,0.8985
07-05-23:18,123,5.102384266183136e-05,0.3511,0.9694,0.8975
07-05-23:18,124,4.356086964142371e-05,0.3043,0.9698,0.8977
07-05-23:18,125,3.6645784839922773e-05,0.3507,0.97,0.8994
07-05-23:18,126,3.0293360770067913e-05,0.2782,0.9695,0.9001
07-05-23:18,127,2.4517167947361387e-05,0.2965,0.9701,0.8999
07-05-23:18,128,1.9329545899734983e-05,0.2688,0.9699,0.8996
07-05-23:18,129,1.4741576806942794e-05,0.2406,0.9707,0.8989
07-05-23:18,130,1.07630618259941e-05,0.3204,0.9707,0.8997
07-05-23:18,131,7.4025001532004434e-06,0.3091,0.9707,0.9004
07-05-23:18,132,4.667070867567937e-06,0.2965,0.9707,0.9002
07-05-23:18,133,2.5626175943201394e-06,0.2853,0.9707,0.9006
07-05-23:18,134,1.093636021316436e-06,0.2602,0.9708,0.9002
07-05-23:18,135,2.6326429503278733e-07,0.4333,0.9705,0.9002
07-05-23:18,136,0.0005999966809024817,0.3743,0.9698,0.8916
07-05-23:18,137,0.0005998839580667771,0.4404,0.9349,0.8743
07-05-23:18,138,0.000599611071323922,0.4188,0.9456,0.8686
07-05-23:18,139,0.0005991781664335632,0.3976,0.9485,0.8261
07-05-23:18,140,0.0005985854746273947,0.3302,0.9465,0.8885
07-05-23:18,141,0.0005978333124856477,0.36,0.9552,0.8797
07-05-23:18,142,0.0005969220817679929,0.2915,0.949,0.8811
07-05-23:18,143,0.0005958522691989445,0.3977,0.9516,0.8651
07-05-23:18,144,0.0005946244462078812,0.3183,0.9535,0.8853
07-05-23:18,145,0.0005932392686238232,0.505,0.9546,0.8827
07-05-23:18,146,0.000591697476325128,0.2945,0.9526,0.8886
07-05-23:18,147,0.0005899998928442918,0.5143,0.9579,0.8878
07-05-23:18,148,0.000588147424928068,0.4891,0.9593,0.8843
07-05-23:18,149,0.0005861410620531381,0.3778,0.9602,0.8841
07-05-23:18,150,0.0005839818758975925,0.3557,0.9541,0.8798
07-05-23:18,151,0.000581671019768505,0.3467,0.9574,0.8937
07-05-23:18,152,0.0005792097279859057,0.3555,0.9605,0.8916
07-05-23:18,153,0.0005765993152234811,0.4809,0.9599,0.8724
07-05-23:18,154,0.0005738411758063556,0.3343,0.9588,0.8674
07-05-23:18,155,0.0005709367829663261,0.3437,0.9587,0.8907
07-05-23:18,156,0.0005678876880549511,0.3173,0.9622,0.8906
07-05-23:18,157,0.000564695519714912,0.2902,0.9612,0.8902
07-05-23:18,158,0.0005613619830100902,0.3365,0.9646,0.893
07-05-23:18,159,0.0005578888585148252,0.3464,0.9643,0.8848
07-05-23:18,160,0.0005542780013628384,0.299,0.9641,0.8874
07-05-23:18,161,0.0005505313402563334,0.2741,0.9653,0.8974
07-05-23:18,162,0.0005466508764357987,0.308,0.9659,0.8946
07-05-23:18,163,0.0005426386826110665,0.306,0.9641,0.8782
07-05-23:18,164,0.0005384969018541956,0.335,0.9549,0.8884
07-05-23:18,165,0.0005342277464547711,0.3383,0.9625,0.8828
07-05-23:18,166,0.0005298334967382337,0.3718,0.96,0.8877
07-05-23:18,167,0.0005253164998478664,0.4011,0.9602,0.8561
07-05-23:18,168,0.0005206791684910925,0.3651,0.9489,0.8735
07-05-23:18,169,0.000515923979650753,0.3459,0.9592,0.8909
07-05-23:18,170,0.0005110534732620507,0.3518,0.9637,0.8945
07-05-23:18,171,0.0005060702508558713,0.3267,0.9651,0.8855
07-05-23:18,172,0.0005009769741692012,0.3502,0.967,0.8942
07-05-23:18,173,0.0004957763637233889,0.2984,0.9681,0.8942
07-05-23:18,174,0.0004904711973710063,0.3273,0.9634,0.8908
07-05-23:18,175,0.00048506430881208696,0.3072,0.9653,0.8927
07-05-23:18,176,0.00047955858608053474,0.3759,0.9668,0.8932
07-05-23:18,177,0.00047395697000151036,0.3101,0.9679,0.8951
07-05-23:18,178,0.0004682624526206193,0.2713,0.9687,0.8993
07-05-23:18,179,0.0004624780756057421,0.4569,0.9698,0.8948
07-05-23:18,180,0.00045660692862235823,0.2977,0.9701,0.8952
07-05-23:18,181,0.0004506521476832332,0.3007,0.9678,0.885
07-05-23:18,182,0.0004446169134733499,0.5172,0.9638,0.8553
07-05-23:18,183,0.0004385044496509778,0.2854,0.9666,0.8959
07-05-23:18,184,0.00043231802112578987,0.285,0.9689,0.8947
07-05-23:18,185,0.0004260609323149439,0.3153,0.9695,0.8771
07-05-23:18,186,0.0004197365253780625,0.27,0.9669,0.8916
07-05-23:18,187,0.00041334817843205284,0.2867,0.9701,0.8984
07-05-23:18,188,0.0004068993037467202,0.29,0.971,0.8911
07-05-23:18,189,0.00040039334592213927,0.3335,0.9709,0.8962
07-05-23:18,190,0.00039383378004875607,0.3242,0.9707,0.8934
07-05-23:18,191,0.00038722410985120477,0.2865,0.9694,0.8915
07-05-23:18,192,0.00038056786581682866,0.3127,0.9714,0.8945
07-05-23:18,193,0.0003738686033099071,0.3279,0.9728,0.8969
07-05-23:18,194,0.00036712990067259375,0.31,0.9714,0.8997
07-05-23:18,195,0.0003603553573135824,0.352,0.9723,0.8983
07-05-23:18,196,0.00035354859178551943,0.3038,0.9726,0.8981
07-05-23:18,197,0.0003467132398521918,0.2789,0.9739,0.8965
07-05-23:18,198,0.0003398529525465204,0.2781,0.9746,0.8964
07-05-23:18,199,0.0003329713942203988,0.2941,0.9746,0.8964
07-05-23:18,200,0.0003260722405874173,0.2577,0.9744,0.8948
